Timestamp,Candle_Timestamp,Profile,Signal_Type,Votes,Threshold,ADX_Value,ADX_Threshold,Cooldown_Remaining,Blocked_Reason,Status
2026-06-17 21:16:30,2026-06-17 15:45:00,Balanced,BUY,3,3,19.88,15,0,"MTF blocked — 15m trend is BEARISH, not BULLISH",BLOCKED_CONSENSUS
2026-06-17 21:17:01,2026-06-17 15:45:00,Balanced,BUY,3,3,19.88,15,0,"MTF blocked — 15m trend is BEARISH, not BULLISH",BLOCKED_CONSENSUS
2026-06-17 21:17:32,2026-06-17 15:50:00,Balanced,BUY,2,3,21.7,15,0,Blocked because consensus votes = 2 and threshold = 3,BLOCKED_CONSENSUS
2026-06-17 21:18:04,2026-06-17 15:50:00,Balanced,BUY,2,3,21.7,15,0,Blocked because consensus votes = 2 and threshold = 3,BLOCKED_CONSENSUS
2026-06-17 21:18:36,2026-06-17 15:50:00,Balanced,BUY,2,3,21.7,15,0,Blocked because consensus votes = 2 and threshold = 3,BLOCKED_CONSENSUS
2026-06-17 21:19:07,2026-06-17 15:50:00,Balanced,BUY,2,3,21.7,15,0,Blocked because consensus votes = 2 and threshold = 3,BLOCKED_CONSENSUS
2026-06-17 21:19:39,2026-06-17 15:50:00,Balanced,BUY,2,3,21.7,15,0,Blocked because consensus votes = 2 and threshold = 3,BLOCKED_CONSENSUS
2026-06-17 21:20:10,2026-06-17 15:50:00,Balanced,BUY,2,3,21.7,15,0,Blocked because consensus votes = 2 and threshold = 3,BLOCKED_CONSENSUS
2026-06-17 21:20:42,2026-06-17 15:50:00,Balanced,BUY,2,3,21.7,15,0,Blocked because consensus votes = 2 and threshold = 3,BLOCKED_CONSENSUS
2026-06-17 21:21:14,2026-06-17 15:50:00,Balanced,BUY,2,3,21.7,15,0,Blocked because consensus votes = 2 and threshold = 3,BLOCKED_CONSENSUS
2026-06-17 21:21:45,2026-06-17 15:50:00,Balanced,BUY,2,3,21.7,15,0,Blocked because consensus votes = 2 and threshold = 3,BLOCKED_CONSENSUS
2026-06-17 21:22:17,2026-06-17 15:50:00,Balanced,BUY,2,3,21.7,15,0,Blocked because consensus votes = 2 and threshold = 3,BLOCKED_CONSENSUS
2026-06-17 21:22:48,2026-06-17 15:55:00,Balanced,BUY,3,3,23.09,15,0,"MTF blocked — 15m trend is BEARISH, not BULLISH",BLOCKED_CONSENSUS
2026-06-17 21:23:20,2026-06-17 15:55:00,Balanced,BUY,3,3,23.09,15,0,"MTF blocked — 15m trend is BEARISH, not BULLISH",BLOCKED_CONSENSUS
2026-06-17 21:23:51,2026-06-17 15:55:00,Balanced,BUY,3,3,23.09,15,0,"MTF blocked — 15m trend is BEARISH, not BULLISH",BLOCKED_CONSENSUS
2026-06-17 21:24:22,2026-06-17 15:55:00,Balanced,BUY,3,3,23.09,15,0,"MTF blocked — 15m trend is BEARISH, not BULLISH",BLOCKED_CONSENSUS
2026-06-17 21:24:53,2026-06-17 15:55:00,Balanced,BUY,3,3,23.09,15,0,"MTF blocked — 15m trend is BEARISH, not BULLISH",BLOCKED_CONSENSUS
2026-06-17 21:25:25,2026-06-17 15:55:00,Balanced,BUY,3,3,23.09,15,0,"MTF blocked — 15m trend is BEARISH, not BULLISH",BLOCKED_CONSENSUS
2026-06-17 21:25:56,2026-06-17 15:55:00,Balanced,BUY,3,3,23.09,15,0,"MTF blocked — 15m trend is BEARISH, not BULLISH",BLOCKED_CONSENSUS
2026-06-17 21:26:28,2026-06-17 15:55:00,Balanced,BUY,3,3,23.09,15,0,"MTF blocked — 15m trend is BEARISH, not BULLISH",BLOCKED_CONSENSUS
2026-06-17 21:26:59,2026-06-17 15:55:00,Balanced,BUY,3,3,23.09,15,0,"MTF blocked — 15m trend is BEARISH, not BULLISH",BLOCKED_CONSENSUS
2026-06-17 21:27:31,2026-06-17 16:00:00,Balanced,BUY,3,3,24.77,15,0,"MTF blocked — 15m trend is BEARISH, not BULLISH",BLOCKED_CONSENSUS
2026-06-17 21:28:03,2026-06-17 16:00:00,Balanced,BUY,3,3,24.77,15,0,"MTF blocked — 15m trend is BEARISH, not BULLISH",BLOCKED_CONSENSUS
2026-06-17 21:28:34,2026-06-17 16:00:00,Balanced,BUY,3,3,24.77,15,2,Blocked because cooldown active (2 candles left),BLOCKED_COOLDOWN
2026-06-17 21:29:06,2026-06-17 16:00:00,Balanced,BUY,3,3,24.77,15,1,Blocked because cooldown active (1 candles left),BLOCKED_COOLDOWN
2026-06-17 21:29:37,2026-06-17 16:00:00,Balanced,BUY,3,3,24.77,15,0,"MTF blocked — 15m trend is BEARISH, not BULLISH",BLOCKED_CONSENSUS
2026-06-17 21:30:09,2026-06-17 16:00:00,Balanced,BUY,3,3,24.77,15,0,"MTF blocked — 15m trend is BEARISH, not BULLISH",BLOCKED_CONSENSUS
2026-06-17 21:30:40,2026-06-17 16:00:00,Balanced,BUY,3,3,24.77,15,0,"MTF blocked — 15m trend is BEARISH, not BULLISH",BLOCKED_CONSENSUS
2026-06-17 21:31:12,2026-06-17 16:00:00,Balanced,BUY,3,3,24.77,15,0,"MTF blocked — 15m trend is BEARISH, not BULLISH",BLOCKED_CONSENSUS
2026-06-17 21:31:43,2026-06-17 16:00:00,Balanced,BUY,3,3,24.77,15,0,"MTF blocked — 15m trend is BEARISH, not BULLISH",BLOCKED_CONSENSUS
2026-06-17 21:32:15,2026-06-17 16:00:00,Balanced,BUY,3,3,24.77,15,0,"MTF blocked — 15m trend is BEARISH, not BULLISH",BLOCKED_CONSENSUS
2026-06-17 21:32:46,2026-06-17 16:05:00,Balanced,NONE,0,3,26.4,15,0,,NONE
2026-06-17 21:33:18,2026-06-17 16:05:00,Balanced,NONE,0,3,26.4,15,0,,NONE
2026-06-17 21:33:49,2026-06-17 16:05:00,Balanced,NONE,0,3,26.4,15,0,,NONE
2026-06-17 21:34:21,2026-06-17 16:05:00,Balanced,NONE,0,3,26.4,15,0,,NONE
2026-06-17 21:34:52,2026-06-17 16:05:00,Balanced,NONE,0,3,26.4,15,0,,NONE
2026-06-17 21:35:23,2026-06-17 16:05:00,Balanced,NONE,0,3,26.4,15,0,,NONE
2026-06-17 21:35:55,2026-06-17 16:05:00,Balanced,NONE,0,3,26.4,15,0,,NONE
