Timestamp,Action,Price,Quantity,Balance,PnL,Reason
2026-06-18 09:49:04,BUY,64018.01,0.03937775769810948,5041.7714,0.0,Consensus
2026-06-18 09:50:08,CLOSE,63952.01,0.03937775769810948,5039.1724,-2.5989,Consensus
2026-06-18 09:51:44,SELL,63958.86,0.039393857552981894,5039.1724,0.0,Consensus
2026-06-18 09:52:31,CLOSE,63957.59,0.039393857552981894,5039.2225,0.05,Consensus
2026-06-18 09:53:20,SELL,63938.2,0.03940697791290118,5039.2225,0.0,Consensus
2026-06-18 09:55:29,CLOSE,63947.53,0.03940697791290118,5038.8548,-0.3677,Consensus
2026-06-18 09:56:15,BUY,63912.54,0.03941992293904599,5038.8548,0.0,Consensus
2026-06-18 10:02:48,CLOSE,63915.38,0.03941992293904599,5038.9668,0.112,Consensus
2026-06-18 10:04:23,SELL,63926.01,0.03941249231618346,5038.9668,0.0,Consensus
2026-06-18 10:04:56,CLOSE,63931.99,0.03941249231618346,5038.7311,-0.2357,Consensus
2026-06-18 10:06:27,SELL,63892.0,0.039431627348920716,5038.7311,0.0,Consensus
2026-06-18 10:14:02,CLOSE,63858.8,0.039431627348920716,5040.0402,1.3091,Consensus
2026-06-18 10:14:52,BUY,63876.01,0.03945174564897266,5040.0402,0.0,Consensus
2026-06-18 10:15:39,CLOSE,63842.43,0.03945174564897266,5038.7154,-1.3248,Consensus
2026-06-18 10:16:28,BUY,63865.99,0.03944756363726278,5038.7154,0.0,Consensus
2026-06-18 10:17:32,CLOSE,63934.29,0.03944756363726278,5041.4097,2.6943,Consensus
2026-06-18 10:18:19,SELL,63914.0,0.03943900927934413,5041.4097,0.0,Consensus
2026-06-18 10:22:37,CLOSE,63894.83,0.03943900927934413,5042.1657,0.756,Consensus
2026-06-18 10:23:24,SELL,63850.0,0.039484461424963875,5042.1657,0.0,Consensus
2026-06-18 10:26:54,CLOSE,63791.9,0.039484461424963875,5044.4598,2.294,Consensus
2026-06-18 10:28:29,BUY,63755.04,0.03956126269528399,5044.4598,0.0,Consensus
2026-06-18 10:32:44,CLOSE,63895.63,0.03956126269528399,5050.0217,5.5619,Consensus
2026-06-18 10:34:19,BUY,63944.01,0.03948784013623016,5050.0217,0.0,Consensus
2026-06-18 10:35:55,CLOSE,63900.0,0.03948784013623016,5048.2838,-1.7379,Consensus
2026-06-18 10:37:31,SELL,63920.0,0.039489078764507274,5048.2838,0.0,Consensus
2026-06-18 11:58:25,CLOSE,64061.28,0.039489078764507274,5042.7048,-5.579,Stop Loss (ATR)
2026-06-18 12:00:02,SELL,64048.0,0.03936660639057239,5042.7048,0.0,Consensus
2026-06-18 12:38:15,CLOSE,64183.32,0.03936660639057239,5037.3777,-5.3271,Stop Loss (ATR)
2026-06-18 12:39:52,SELL,64187.02,0.03923984726997755,5037.3777,0.0,Consensus
2026-06-18 12:50:46,CLOSE,64302.16,0.03923984726997755,5032.8596,-4.5181,Consensus
2026-06-18 12:52:24,BUY,64304.58,0.03913297969612214,5032.8596,0.0,Consensus
2026-06-18 12:52:58,CLOSE,64288.17,0.03913297969612214,5032.2175,-0.6422,Consensus
2026-06-18 12:54:38,SELL,64279.99,0.039142954711244585,5032.2175,0.0,Consensus
2026-06-18 12:59:29,CLOSE,64409.12,0.039142954711244585,5027.1629,-5.0545,Stop Loss (ATR)
2026-06-18 13:00:53,BUY,64438.01,0.03900774515752927,5027.1629,0.0,Consensus
2026-06-18 13:02:30,CLOSE,64454.0,0.03900774515752927,5027.7867,0.6237,Consensus
2026-06-18 13:04:05,SELL,64431.99,0.03901622997304379,5027.7867,0.0,Consensus
2026-06-18 13:08:50,CLOSE,64441.99,0.03901622997304379,5027.3965,-0.3902,Consensus
2026-06-18 13:10:20,BUY,64489.57,0.03897836903410881,5027.3965,0.0,Consensus
2026-06-18 13:12:37,CLOSE,64470.11,0.03897836903410881,5026.638,-0.7585,Consensus
2026-06-18 13:13:12,SELL,64466.73,0.038986295702919796,5026.638,0.0,Consensus
2026-06-18 13:19:36,CLOSE,64465.99,0.038986295702919796,5026.6668,0.0288,Consensus
2026-06-18 13:20:24,BUY,64487.23,0.038974125942604465,5026.6668,0.0,Consensus
2026-06-18 13:22:33,CLOSE,64506.9,0.038974125942604465,5027.4335,0.7666,Consensus
2026-06-18 13:23:21,BUY,64453.0,0.03900077163573994,5027.4335,0.0,Consensus
2026-06-18 13:27:38,CLOSE,64401.99,0.03900077163573994,5025.444,-1.9894,Consensus
